table                            neon_count  aiven_count    match
agent_observations                      107          107       OK
agent_prompt_versions                     0            0       OK
agent_runs                            30681        30683 MISMATCH
agent_system_change_log                   0            0       OK
ai_agent_memories                         1            1       OK
ai_agents                               106          106       OK
ai_cost_plan_quotas                       3            3       OK
ai_feedback                               1            1       OK
ai_governance_logs                       95           95       OK
ai_reward_signals                         1            1       OK
ai_safety_logs                          119          119       OK
ai_usage_log                           1251         1251       OK
articles                                 41           41       OK
audit_logs                             1099         1099       OK
avm_calibration                         212          212       OK
bank_rates                                4            4       OK
booking_events                            0            0       OK
bookings                                  0            0       OK
buyer_devices                             0            0       OK
buyer_favorites                           0            0       OK
buyer_otp_log                             3            3       OK
buyer_push_notification_log               0            0       OK
buyer_saved_searches                      0            0       OK
buyer_users                               2            2       OK
campaign_costs                            0            0       OK
campaign_recipients                     151          151       OK
campaigns                                 7            7       OK
chat_sessions                             0            0       OK
commission_ledger                         0            0       OK
commission_policies                       0            0       OK
connector_configs                         0            0       OK
consent_records                           0            0       OK
contracts                                 1            1       OK
conversations                             0            0       OK
custom_fields                             0            0       OK
data_erasure_requests                     0            0       OK
departments                              84           84       OK
developers                              224          224       OK
documents                                13           13       OK
email_campaign_log                       98           98       OK
email_log                               307          307       OK
email_send_metrics                        0            0       OK
enterprise_config                         3            3       OK
error_logs                             2976         2976       OK
favorites                                 9            9       OK
feedback_events                           0            0       OK
follow_up_sends                           0            0       OK
follow_up_sequences                       0            0       OK
interactions                             71           71       OK
knowledge_chunks                         21           21       OK
land_price_zones                        107          107       OK
lead_email_log                            0            0       OK
lead_journey_memory                       0            0       OK
leads                                    42           42       OK
listing_access                            0            0       OK
listing_price_refresh_log                 0            0       OK
listings                                152          152       OK
market_price_history                   2149         2156 MISMATCH
messages                                  0            0       OK
newsletter_subscribers                    0            0       OK
notifications                            12           12       OK
password_reset_tokens                    43           43       OK
payment_transactions                      0            0       OK
project_access                            0            0       OK
project_floor_plans                       0            0       OK
project_price_matrix                      1            1       OK
projects                                  9            9       OK
prompt_performance_log                    0            0       OK
prompt_promote_log                        0            0       OK
prompt_templates                        156          156       OK
prompt_variants                          15           15       OK
proposals                                 2            2       OK
routing_rules                             1            1       OK
schema_versions                         123          123       OK
scoring_configs                           0            0       OK
seo_geo_snapshots                         4            4       OK
seo_overrides                             0            0       OK
seo_target_keywords                       0            0       OK
sequence_enrollments                      0            0       OK
sequences                                 9            9       OK
sessions                                  0            0       OK
sms_log                                   0            0       OK
subscriptions                            14           14       OK
sync_jobs                                 0            0       OK
task_activity_logs                       11           11       OK
task_assignments                          2            2       OK
task_comments                             4            4       OK
task_reminders                            0            0       OK
tasks                                     0            0       OK
team_members                              0            0       OK
teams                                     0            0       OK
templates                                 0            0       OK
tenant_prompt_overrides                   0            0       OK
tenants                                  14           14       OK
units                                    72           72       OK
uploaded_files                          310          310       OK
usage_tracking                            0            0       OK
user_page_views                        6867         6867       OK
user_sessions                           390          390       OK
users                                    59           59       OK
valuation_cost_alerts                     1            1       OK
valuation_usage_log                      10           10       OK
visitor_events                           16           16       OK
visitor_logs                          12279        12281 MISMATCH
vn_districts                             58           58       OK
vn_provinces                             63           63       OK
wf_tasks                                  3            3       OK
DONE
