id,source,title,type,transaction,price,priceDisplay,currency,area,pricePerM2,location,province,district,lat,lng,bedrooms,bathrooms,floors,frontage,description,imageUrl,url,postedAt,scrapedAt
chotot-130860328,chotot,🎉BÁN NHÀ TÂN CỔ ĐIỂN ANH TUẤN Green Riverside 🏡Nhà Đẹp Như Mới 🪭,Townhouse,SALE,8800000000,"8,8 tỷ",VND,80,110000000,"Lê Văn Lương, Huyện Nhà Bè, Tp Hồ Chí Minh",Tp Hồ Chí Minh,Huyện Nhà Bè,10.67503,106.69843,4,4,3,6.5,"🎊Nhà full nội thất đẹp như mới 
-Nhà hẻm ô tô thoại mái ✨
-Diện tích 6.50x9.25 
-Phù hợp gđ đông người ở thoại mái ⭐️
-Dân cư An Ninh Thoáng Mát 🌲
-Gia Chủ còn thương lượng nhẹ.
Liên hệ☎️za lo ***
Hoạc số 033…..582.5383 
✨",https://cdn.chotot.com/Kyk5qrWGvTRUxFev9RIDVoiC8QugAYSHK4I-OAQUZSQ/preset:listing/plain/7ddfe76dd34fddecbf9b8a7b2bfeb8f3-2972909889956447954.jpg,https://www.chotot.com/130860328.htm,2026-04-10T15:33:14.000Z,2026-04-10T15:34:25.980Z
chotot-130326209,chotot,NHÀ HẺM XE HƠI AN DƯƠNG VƯƠNG,Townhouse,SALE,4850000000,"4,85 tỷ",VND,64,75781250,"Đường An Dương Vương, Quận Bình Tân, Tp Hồ Chí Minh",Tp Hồ Chí Minh,Quận Bình Tân,10.722386,106.61971,3,,,,"NHÀ HẺM XE HƠI AN DƯƠNG VƯƠNG
- Bán gấp nhà Hẻm xe hơi An Dương Vương, P. An Lạc, Q. Bình Tân. 
- DT đất : 4 x 16, vuông vức, công nhận 60m2
- Nhà xây 1 lầu,bnội thất đẹp cơ bản, đầy đủ.
- Vị trí cực đẹp, ngay sát khu Bình Phú, hẻm đối diện ngân hàng ACB, ngay ngã 4 Võ Văn Kiệt, thuận tiện đi Q5, Q1,...
- Khu an ninh, dân trí, rất tiện gia đình ở.
- Sổ hồng công chứng ngay.
- Khánh Linh Land. MTG,MG",https://cdn.chotot.com/mciRcAymygPLySenLNGqFw46RB3HA_sEZfQLyw7Z88g/preset:listing/plain/24dd31ff30d695496b856c81d672c4c7-2967252578160854312.jpg,https://www.chotot.com/130326209.htm,2026-04-10T15:32:08.000Z,2026-04-10T15:34:25.980Z
chotot-131750279,chotot,"bán nhà lầu phường hoá an, hoàn công",Villa,SALE,3750000000,"3,75 tỷ",VND,72,52083333,"Đường Nguyễn Thị Tồn, Thành phố Biên Hòa, Đồng Nai",Đồng Nai,Thành phố Biên Hòa,10.9318695,106.80958,3,2,2,4,"Dự án: 
Thông tin chi tiết: 💰 CÒN 1 CĂN - HOÀN CÔNG , MỚI 100% 

❌ CHỦ GỬI BÁN NHÀ 1TRỆT 1LẦU HOÀN CÔNG - KDC P. HÓA AN ( P. BIÊN HÒA MỚI ) 
__________________________________
✅ DT : 4m x 18m (72m2) 👉 SÀN : 137m2
📕 Sổ riêng, full thổ cư 100% ( HOÀN CÔNG )
🚘 Đường oto 7 chổ thông bàn cờ 
🏠 Nhà thiết kế : 4 P.ngủ ( 1 P. Ngủ dưới ), bếp , 2WC, P.khách + sân đậu xe hơi trong nhà ,.. 
♥️ KDC Văn minh, gần chợ Nguyễn thị tồn , trường học các cấp 
__________________________________
💰 GIÁ : 3 TỶ 750 TRIỆU ( BỚT LỘC )

☎️ ALO EM :",https://cdn.chotot.com/5upeW2MjuXDt1YuFRkZ71zggQeNAEPBcYUjCuE-GCzo/preset:listing/plain/057b1e9cb4b26e9b6b4e26dd031be910-2979356858740138534.jpg,https://www.chotot.com/131750279.htm,2026-04-10T15:31:51.000Z,2026-04-10T15:34:25.980Z
chotot-131750278,chotot,CHÍNH CHỦ BÁN NHÀ NGAY SÁT HỒ ĐỀN LỪ 34M-5 TẦNG - F0 CHƯA QUA ĐẦU TƯ,Townhouse,SALE,7280000000,"7,28 tỷ",VND,31,234838710,"Đường Hoàng Mai, Quận Hoàng Mai, Hà Nội",Hà Nội,Quận Hoàng Mai,20.983633,105.86334,3,3,5,3.5,"Ngay Gần Chung Cư Feliz Home - Đền Lừ-  Cách Ô Tô Tránh 20m-  Hàng F0 Chưa Qua Đầu Tư

✅ 𝟑𝟒𝐦-𝟓 𝐓𝐚̂̀𝐧𝐠 -𝐌𝐚̣̆𝐭 𝐓𝐢𝐞̂̀𝐧 𝟑,𝟓𝐦  

✅ Giá 7,3 Tỷ ( Có Đàm Phán )

Thiết Kế 3 Ngủ Đủ Công Năng

Nhà Dân Xây Nguyên Bản

⛔️ Gần Các Phố : Trương Định , Nguyễn An Ninh , Bạch Mai , Minh Khai ,Kim Đồng…

📕Sổ Đỏ Nở Hậu",https://cdn.chotot.com/dH1au-qWBUQy5FVOLV_IWZlxcmiHYDFHecUyJ2T78fs/preset:listing/plain/0a766be439a6f53e54175c0f540e15f5-2979355839789290923.jpg,https://www.chotot.com/131750278.htm,2026-04-10T15:31:50.000Z,2026-04-10T15:34:25.980Z
chotot-131750277,chotot,NHÀ GẤP BÁN CHÍNH CHỦ GIÁ RẺ Q3,Townhouse,SALE,3900000000,"3,9 tỷ",VND,33,118181818,"Đường Cách Mạng Tháng Tám, Quận 3, Tp Hồ Chí Minh",Tp Hồ Chí Minh,Quận 3,10.776673,106.68382,2,2,2,3,"nhà chính chủ cần bán giá rẻ ngay quận 3 
nhà mới Ken  chỉ  việc vali vào ở không cần chỉnh sửa gì 
kết cấu hai tầng hoàn công đầy đủ. không quy hoạch không lộ giới 
gồm một phòng khách rộng rãi 
 hai phòng ngủ hai vệ sinh ban công thoáng mát ngay trung tâm sát bên quận 10 quận 1 .
gần chợ gần các trường học 
giao thông đi đâu cũng tiện 
Hh Môi giới 50 triệu nhận đủ",https://cdn.chotot.com/yn0tPk1jj4_UK19_f0gjxakWW04ipvvlGeSMbz-XvNc/preset:listing/plain/cc0dcb9c3fa4b088b64c8766850ff104-2979356512940024358.jpg,https://www.chotot.com/131750277.htm,2026-04-10T15:31:46.000Z,2026-04-10T15:34:25.980Z
chotot-127298653,chotot,BÁN NHÀ ĐẸP KIM GIANG - ĐẠI KIM  - 35M*5T- NGÕ NÔNG - GẦN Ô TÔ - CHỈ,Townhouse,SALE,8600000000,"8,6 tỷ",VND,35,245714286,"Kim Giang, Quận Hoàng Mai, Hà Nội",Hà Nội,Quận Hoàng Mai,20.973969,105.82169,3,,45,,"BÁN NHÀ ĐẸP KIM GIANG - ĐẠI KIM - 35M*5T- NGÕ NÔNG - GẦN Ô TÔ - CHỈ 8,6 TỶ

Mô tả: 
- Vị trí nhà đẹp, ngõ thông, cực gần ô tô, sát khu đô thị Đại Kim, hướng nhiều tiện ích, gần nhiều các trường PT các cấp, trường quốc tế, trường  ĐH Thăng Long,...

Thiết kế:
- Diện tích: 35m², mặt tiền ~4m
- Kết cấu: 5 tầng kiên cố, thiết kế hiện đại
- Tầng 1: Phòng khách + bếp
- Tầng 2,3,4: Mỗi tầng 1 phòng ngủ rộng
- Tầng 5: Phòng thờ + sân phơi
- Nhà đẹp, nội thất cơ bản, về ở ngay
- Ngõ thông thoáng, ba gác tránh, cách ô tô chỉ vài chục mét, ở thuận tiện.

- Sổ đỏ chính chủ – pháp lý chuẩn – sang tên nhanh
Xin Lh: Em Hạnh Vân xem nhà trực tiếp
Giá: 8,6 tỷ ( có thương lượng )",https://cdn.chotot.com/TzasI6STPDZSJfoE60VJzxFT5WinlIIQIhmstUBPUTc/preset:listing/plain/24c80aa196525b65af66f713076c3c88-2965585790626965905.jpg,https://www.chotot.com/127298653.htm,2026-04-10T15:31:03.000Z,2026-04-10T15:34:25.981Z
chotot-131728082,chotot,"4 x 12m, BÁN NHÀ 4 TẦNG, HẺM 7M🚗, QUANG TRUNG, P14 GÒ VẤP, 7 TỶ",Townhouse,SALE,7200000000,"7,2 tỷ",VND,48,150000000,"Đường Quang Trung, Quận Gò Vấp, Tp Hồ Chí Minh",Tp Hồ Chí Minh,Quận Gò Vấp,10.844881,106.63925,3,5,4,4,"🏡 NGON NÈ - NHÀ ĐẸP 4 TẦNG BTCT - KHU CAO TẦNG- HẺM XE TẢI 1 TRỤC 1 SẸC 🚗  ~48m2 - SHR  - NGAY EMART PHAN HUY ÍCH - P.AHT (P14 Gò Vấp cũ)- 7Ti29 có TL🥇 

🎯 Vị trí: Quang Trung - Phan Huy Ích - P14 Gò Vấp cũ- HCM
- Diện tích: 4 x 12m, sổ đẹp vuông vức A4
- Kết cấu: trệt 1 lửng 2 lầu sân thượng trước, 3 phòng ngủ, bếp khách, 2 giếng trời ngập tràn sinh khí thông thoáng, phòng thờ, tặng toàn bộ nội thất sang xịn mịn, dọn vào ngay✨
- Sổ hồng riêng, hoàn công đủ, sang tên nhanh
- Vị trí cực đẹp, hẻm tải 1 trục, sát mặt tiền trường An Hội, Phạm Văn Chiêu, kế bên Chợ Hạnh Thông Tây, Emart Phan Huy Ích, Quang Trung, Công viên Làng Hoa Gò Vấp, Thống Nhất, Phan Văn Trị, Sân bay

💰 Giá thân thương 7.2 tỷ còn TL
📞☎️ Call/ Zalo: e Thu Vân xem nhà",https://cdn.chotot.com/WrHx4-mb_R_LRbrddFEs_NmivnWAXown-P-dq8Ngcjw/preset:listing/plain/166e780ca6cc51952955e138ae3ce74b-2979196849180598822.jpg,https://www.chotot.com/131728082.htm,2026-04-10T15:31:03.000Z,2026-04-10T15:34:25.981Z
chotot-131652596,chotot,"QUÁ NGON CHO MỘT SIÊU PHẨM, GIÁP SÁT QUẬN 10, NGANG 3M CHỈ HƠN 4TY",Townhouse,SALE,4300000000,"4,3 tỷ",VND,26,165384615,"Đường Lạc Long Quân, Quận Tân Bình, Tp Hồ Chí Minh",Tp Hồ Chí Minh,Quận Tân Bình,10.782952,106.65197,2,2,2,3,"QUÁ NGON CHO MỘT SIÊU PHẨM, GIÁP SÁT QUẬN 10, NGANG 3M HƠN NHỈNH CHỈ 4TY
Đường trước nhà 3M, cách hẻm xe hơi tầm 100m hơn. Khu dân cư an ninh, yên tĩnh.

Nhà nở hậu tài lộc, Pháp lý chuẩn,  công chứng ngay.",https://cdn.chotot.com/rgn16_rSITPMgyVS4NJM3HkZkgfRMhFM8xR3jHCd4K4/preset:listing/plain/8dd21a361778f9e9e112c83622afe82a-2978708107023592440.jpg,https://www.chotot.com/131652596.htm,2026-04-10T15:30:53.000Z,2026-04-10T15:34:25.981Z
chotot-131019790,chotot,"Quá rẻ chỉ ""73tr/m2"" - Bán đất tặng nhà C4 75m2 - Nguyễn Văn Đậu",Townhouse,SALE,4670000000,"4,67 tỷ",VND,75,62266667,"Đường Nguyễn Văn Đậu, Quận Bình Thạnh, Tp Hồ Chí Minh",Tp Hồ Chí Minh,Quận Bình Thạnh,10.814855,106.69444,2,1,1,3.5999,"Dự án: 
Thông tin chi tiết: Vị trí Nguyễn Văn Đậu P.11 Bình Thạnh
+ Diện tích: ~4m x 21m
+ Hiện trạng: C4 
+ Nhà còn ở được. Xác định bán đất
+ Hẻm sạch sẽ. 20m ra mặt tiền
Miễn tiếp môi giới",https://cdn.chotot.com/T4M_SkrdCUvAxFnVQ3RW9Y6tV81VDeIzjEjwIagORbA/preset:listing/plain/783f185b5e33bddb2eb845dd394c76f6-2974112137741699622.jpg,https://www.chotot.com/131019790.htm,2026-04-10T15:28:32.000Z,2026-04-10T15:34:25.981Z
chotot-131750235,chotot,bán căn nhà khu tái định cư đẹp cách bến xe phía nam vài trăm mét,House,SALE,2200000000,"2,2 tỷ",VND,128,17187500,"Cư Thạnh, Huyện Diên Khánh, Khánh Hòa",Khánh Hòa,Huyện Diên Khánh,12.215779,109.08693,2,1,,8,"Dự án: 
Thông tin chi tiết: Nhà khu tái định cư cách bến xe phía nam nha trang chỉ vào trăm mét
Diện tích ngang 8m, dài 16m
Đường rộng 8 mét xe trọng tải lớn 15 tấn, xe khách, xe ben ra vào bỏ hàng chở vật liệu xây dựng đi rộng rãi.
Phù hợp để ở hay đầu tư. Trong tương lai vào ba năm nữa cơ sở hạ tầng xây dựng nhiều các dự án đã được chính phủ phê duyệt. 
Gần đường quốc lộ 1A rất tiện lợi và cũng rất yên tĩnh
Nhà hướng Nam được đánh giá là hướng *** tại Việt Nam, mang lại sự mát mẻ vào mùa hè nhờ gió Đông Nam và ấm áp vào mùa đông nhờ tránh gió Đông Bắc. Về phong thủy, hướng Nam đại diện cho năng lượng dương, hành Hỏa, giúp gia chủ thu hút tài lộc, may mắn và phát triển công danh.
Nhà đã có sổ Full thổ chính chủ 100%
Sđt làm việc trực tiếp ***",https://cdn.chotot.com/EDTfnO3wr7gVB-vs7OoTt7_q_-O6oqQfka17AQ9wUko/preset:listing/plain/5154942543bcb0498f563c0fc544dc95-2979355224700586613.jpg,https://www.chotot.com/131750235.htm,2026-04-10T15:28:19.000Z,2026-04-10T15:34:25.981Z
